order_id,order_timestamp,city,store_id,delivery_pincode,delivery_lat,delivery_lon,basket_value_inr,promised_delivery_min,actual_delivery_min
ORD0000001,2026-04-01 00:14:29,Pune,PUN-07,411057,18.594295,73.771084,528.93,10,2.81
ORD0000002,2026-04-01 00:15:20,Pune,PUN-01,411058,18.478135,73.801242,308.24,10,6.98
ORD0000003,2026-04-01 00:27:56,Hyderabad,HYD-04,500032,17.431143,78.337979,357.72,10,9.18
ORD0000004,2026-04-01 00:28:20,Pune,PUN-03,411021,18.553791,73.768771,574.25,10,7.22
ORD0000005,2026-04-01 00:28:39,Hyderabad,HYD-06,500049,17.501828,78.388093,250.99,10,7.5
ORD0000006,2026-04-01 00:30:03,Hyderabad,HYD-04,500084,17.460896,78.378116,484.85,10,4.5
ORD0000007,2026-04-01 00:32:33,Pune,PUN-01,411058,18.474878,73.791954,307.32,10,10.8
ORD0000008,2026-04-01 00:33:35,Hyderabad,HYD-04,500084,17.463306,78.357979,298.95,10,3.62
ORD0000009,2026-04-01 00:36:26,Pune,PUN-02,411016,18.52617,73.826924,210.92,10,10.09
ORD0000010,2026-04-01 00:37:49,Hyderabad,HYD-04,500084,17.468307,78.369471,314.58,10,3.78
ORD0000011,2026-04-01 00:55:13,Hyderabad,HYD-06,500049,17.514567,78.386783,307.31,10,10.36
ORD0000012,2026-04-01 00:59:51,Hyderabad,HYD-04,500032,17.440717,78.333646,629.41,10,9.69
ORD0000013,2026-04-01 01:22:12,Hyderabad,HYD-06,500049,17.510055,78.377598,211.92,10,11.32
ORD0000014,2026-04-01 01:30:11,Pune,PUN-03,411007,18.546742,73.805822,441.89,10,3.49
ORD0000015,2026-04-01 01:30:15,Pune,PUN-07,411057,18.595388,73.749812,340.18,10,8.62
ORD0000016,2026-04-01 01:37:40,Jaipur,JAI-03,302021,26.966725,75.793776,581.95,10,16.03
ORD0000017,2026-04-01 01:51:14,Pune,PUN-05,411048,18.472689,73.899761,314.74,10,12.83
ORD0000018,2026-04-01 01:56:40,Pune,PUN-01,411058,18.490605,73.797165,437.03,10,5.17
ORD0000019,2026-04-01 02:39:20,Pune,PUN-03,411007,18.569855,73.803053,643.87,10,2.6
ORD0000020,2026-04-01 02:57:35,Jaipur,JAI-02,302020,26.839549,75.854194,539.3,10,11.67
ORD0000021,2026-04-01 03:12:31,Jaipur,JAI-03,302004,26.937311,75.793846,600.5,10,5.93
ORD0000022,2026-04-01 03:23:37,Pune,PUN-07,411057,18.588875,73.768892,1244.92,10,7.23
ORD0000023,2026-04-01 04:02:06,Jaipur,JAI-01,302015,26.911427,75.742338,360.74,10,4.03
ORD0000024,2026-04-01 04:03:47,Hyderabad,HYD-04,500032,17.449156,78.34655,344.96,10,3.62
ORD0000025,2026-04-01 04:06:29,Jaipur,JAI-03,302001,26.926858,75.822835,337.39,10,4.71
ORD0000026,2026-04-01 04:28:31,Pune,PUN-01,411038,18.509281,73.81148,757.78,10,2.6
ORD0000027,2026-04-01 04:54:52,Hyderabad,HYD-03,500018,17.453309,78.43852,596.95,10,11.48
ORD0000028,2026-04-01 05:03:44,Jaipur,JAI-04,302018,26.84762,75.767228,291.34,10,2.6
ORD0000029,2026-04-01 05:06:21,Hyderabad,HYD-04,500019,17.495726,78.360208,153.22,10,16.17
ORD0000030,2026-04-01 05:13:25,Hyderabad,HYD-05,500089,17.411856,78.384188,711.8,10,6.39
ORD0000031,2026-04-01 05:18:33,Pune,PUN-03,411007,18.558788,73.800078,412.01,10,2.6
ORD0000032,2026-04-01 05:21:02,Hyderabad,HYD-04,500084,17.461697,78.365069,1039.6,10,2.6
ORD0000033,2026-04-01 05:21:55,Jaipur,JAI-03,302001,26.912068,75.815751,230.7,10,8.49
ORD0000034,2026-04-01 05:24:25,Jaipur,JAI-02,302017,26.854238,75.819198,422.63,10,3.83
ORD0000035,2026-04-01 05:24:55,Pune,PUN-01,411038,18.507641,73.802421,602.46,10,2.6
ORD0000036,2026-04-01 05:30:26,Hyderabad,HYD-06,500072,17.488319,78.402418,693.29,10,3.97
ORD0000037,2026-04-01 05:31:32,Hyderabad,HYD-03,500016,17.436543,78.473999,491.19,10,4.98
ORD0000038,2026-04-01 05:32:50,Pune,PUN-06,411001,18.510638,73.871494,348.94,10,13.36
ORD0000039,2026-04-01 05:33:44,Jaipur,JAI-01,302015,26.916531,75.747793,369.29,10,2.6
ORD0000040,2026-04-01 05:39:40,Hyderabad,HYD-06,500049,17.515334,78.39692,315.47,10,11.48
ORD0000041,2026-04-01 05:41:57,Jaipur,JAI-04,302018,26.853431,75.758153,733.38,10,5.67
ORD0000042,2026-04-01 05:42:45,Pune,PUN-03,411045,18.568982,73.765874,240.99,10,8.53
ORD0000043,2026-04-01 05:42:51,Pune,PUN-05,411048,18.476005,73.884622,600.69,10,14.01
ORD0000044,2026-04-01 05:45:07,Hyderabad,HYD-06,500072,17.477373,78.414721,491.34,10,4.98
ORD0000045,2026-04-01 05:48:46,Hyderabad,HYD-05,500089,17.394713,78.375279,392.72,10,6.13
ORD0000046,2026-04-01 05:54:08,Pune,PUN-02,411004,18.520581,73.831398,392.23,10,7.4
ORD0000047,2026-04-01 05:54:10,Hyderabad,HYD-02,500034,17.416427,78.427704,464.14,10,5.46
ORD0000048,2026-04-01 05:54:37,Pune,PUN-07,411057,18.594154,73.769204,375.65,10,4.33
ORD0000049,2026-04-01 06:01:39,Hyderabad,HYD-04,500019,17.492209,78.34699,342.7,10,10.89
ORD0000050,2026-04-01 06:01:40,Hyderabad,HYD-06,500049,17.513071,78.403211,346.62,10,8.05
ORD0000051,2026-04-01 06:03:39,Pune,PUN-06,411001,18.520952,73.877123,588.11,10,12.71
ORD0000052,2026-04-01 06:03:44,Pune,PUN-01,411038,18.513851,73.801236,420.0,10,5.1
ORD0000053,2026-04-01 06:03:45,Pune,PUN-06,411006,18.529272,73.853503,373.69,10,5.11
ORD0000054,2026-04-01 06:06:04,Pune,PUN-06,411001,18.51761,73.871045,632.87,10,14.02
ORD0000055,2026-04-01 06:06:11,Pune,PUN-03,411007,18.551264,73.808438,527.97,10,2.6
ORD0000056,2026-04-01 06:07:30,Jaipur,JAI-03,302001,26.922965,75.819756,750.13,10,7.14
ORD0000057,2026-04-01 06:07:44,Hyderabad,HYD-02,500033,17.42974,78.416447,406.9,10,8.28
ORD0000058,2026-04-01 06:09:21,Pune,PUN-03,411021,18.559527,73.789297,570.74,10,6.07
ORD0000059,2026-04-01 06:09:59,Jaipur,JAI-02,302017,26.853892,75.81208,689.01,10,2.6
ORD0000060,2026-04-01 06:10:54,Pune,PUN-05,411028,18.500957,73.927569,331.21,10,4.85
ORD0000061,2026-04-01 06:11:24,Hyderabad,HYD-06,500072,17.491089,78.402675,342.58,10,3.89
ORD0000062,2026-04-01 06:11:58,Hyderabad,HYD-01,500081,17.439928,78.388122,365.66,10,2.6
ORD0000063,2026-04-01 06:12:22,Hyderabad,HYD-02,500018,17.446387,78.435236,403.51,10,7.15
ORD0000064,2026-04-01 06:13:51,Hyderabad,HYD-03,500018,17.455023,78.445755,429.14,10,7.53
ORD0000065,2026-04-01 06:14:36,Hyderabad,HYD-04,500032,17.435736,78.358838,416.4,10,10.52
ORD0000066,2026-04-01 06:14:53,Jaipur,JAI-04,302018,26.866337,75.759979,335.29,10,6.09
ORD0000067,2026-04-01 06:18:38,Pune,PUN-04,411014,18.562254,73.9028,648.04,10,3.52
ORD0000068,2026-04-01 06:20:27,Pune,PUN-01,411038,18.502214,73.811067,1331.54,10,2.6
ORD0000069,2026-04-01 06:21:04,Jaipur,JAI-03,302001,26.927365,75.816087,409.2,10,7.1
ORD0000070,2026-04-01 06:21:55,Pune,PUN-05,411028,18.515121,73.926403,348.99,10,5.21
ORD0000071,2026-04-01 06:24:05,Hyderabad,HYD-01,500081,17.449007,78.398945,1062.23,10,3.18
ORD0000072,2026-04-01 06:25:58,Hyderabad,HYD-01,500033,17.438386,78.402658,584.29,10,6.75
ORD0000073,2026-04-01 06:28:57,Hyderabad,HYD-04,500019,17.487597,78.365755,225.74,10,10.3
ORD0000074,2026-04-01 06:28:58,Jaipur,JAI-05,302019,26.809192,75.786329,615.04,10,11.64
ORD0000075,2026-04-01 06:35:01,Jaipur,JAI-01,302015,26.919856,75.730825,187.35,10,2.6
ORD0000076,2026-04-01 06:35:22,Pune,PUN-03,411007,18.55923,73.806003,269.3,10,4.43
ORD0000077,2026-04-01 06:35:51,Pune,PUN-07,411033,18.618428,73.75191,489.02,10,11.42
ORD0000078,2026-04-01 06:39:31,Hyderabad,HYD-03,500016,17.442629,78.475912,327.92,10,6.84
ORD0000079,2026-04-01 06:40:13,Hyderabad,HYD-06,500049,17.499979,78.393303,482.18,10,7.55
ORD0000080,2026-04-01 06:41:07,Jaipur,JAI-01,302015,26.901543,75.734075,808.87,10,2.74
ORD0000081,2026-04-01 06:41:50,Pune,PUN-05,411028,18.499007,73.920643,660.1,10,2.6
ORD0000082,2026-04-01 06:42:11,Hyderabad,HYD-04,500084,17.465395,78.37672,444.0,10,5.92
ORD0000083,2026-04-01 06:42:30,Jaipur,JAI-05,302019,26.808612,75.786262,501.84,10,12.53
ORD0000084,2026-04-01 06:44:24,Jaipur,JAI-01,302015,26.913047,75.727334,361.57,10,6.88
ORD0000085,2026-04-01 06:44:25,Hyderabad,HYD-04,500019,17.496672,78.345194,859.45,10,11.05
ORD0000086,2026-04-01 06:45:36,Pune,PUN-04,411014,18.564902,73.926401,342.87,10,9.84
ORD0000087,2026-04-01 06:52:00,Hyderabad,HYD-04,500032,17.436679,78.353315,595.89,10,10.28
ORD0000088,2026-04-01 06:52:11,Hyderabad,HYD-04,500084,17.457193,78.378645,295.9,10,2.6
ORD0000089,2026-04-01 06:52:20,Pune,PUN-07,411033,18.62474,73.74943,540.72,10,11.95
ORD0000090,2026-04-01 06:53:26,Pune,PUN-06,411016,18.532645,73.835341,264.03,10,6.1
ORD0000091,2026-04-01 06:55:51,Hyderabad,HYD-04,500032,17.434566,78.342958,426.76,10,8.19
ORD0000092,2026-04-01 06:59:09,Jaipur,JAI-02,302017,26.858624,75.826585,348.59,10,2.6
ORD0000093,2026-04-01 06:59:34,Jaipur,JAI-03,302012,26.950864,75.763326,472.61,10,13.47
ORD0000094,2026-04-01 07:01:03,Hyderabad,HYD-01,500081,17.446352,78.384016,540.28,10,4.52
ORD0000095,2026-04-01 07:04:37,Pune,PUN-07,411033,18.613825,73.747018,198.4,10,12.52
ORD0000096,2026-04-01 07:04:47,Pune,PUN-03,411007,18.559666,73.818098,402.25,10,7.78
ORD0000097,2026-04-01 07:05:07,Pune,PUN-07,411057,18.598079,73.748859,741.49,10,15.45
ORD0000098,2026-04-01 07:05:42,Pune,PUN-04,411014,18.568726,73.911253,293.5,10,9.03
ORD0000099,2026-04-01 07:05:42,Hyderabad,HYD-06,500072,17.476467,78.414837,339.22,10,8.66
ORD0000100,2026-04-01 07:07:20,Hyderabad,HYD-06,500072,17.495234,78.40831,245.2,10,2.64
ORD0000101,2026-04-01 07:08:01,Jaipur,JAI-02,302017,26.849992,75.818719,430.78,10,7.22
ORD0000102,2026-04-01 07:10:22,Hyderabad,HYD-06,500072,17.492331,78.418816,671.89,10,3.62
ORD0000103,2026-04-01 07:11:52,Hyderabad,HYD-04,500032,17.447733,78.344045,963.94,10,5.49
ORD0000104,2026-04-01 07:14:02,Pune,PUN-07,411057,18.605862,73.752895,876.35,10,8.96
ORD0000105,2026-04-01 07:14:22,Hyderabad,HYD-04,500019,17.496524,78.34852,329.87,10,9.41
